original,reference,paraphrased_my,time_my,paraphrased_w2v,time_w2v,paraphrased_ft,time_ft,sim_my_ref,sim_my_orig,sim_w2v_ref,sim_w2v_orig,sim_ft_ref,sim_ft_orig,BLEU_my,ROUGE-1_my,ROUGE-2_my,ROUGE-L_my,BLEU_w2v,ROUGE-1_w2v,ROUGE-2_w2v,ROUGE-L_w2v,BLEU_ft,ROUGE-1_ft,ROUGE-2_ft,ROUGE-L_ft
How do I control my horny emotions?,How do you control your horniness?,How necessary_blawn one control my horny emotions?,3.7054522037506095,what want ive controlling I randy emotions?,1.1728565692901611,what does u controll your horney emotions?,0.5484068393707275,0.7409421,0.84454465,0.42163873,0.5951401,0.7096294,0.7641407,0.039281465090051315,0.42857142857142855,0.0,0.42857142857142855,0.0,0.15384615384615383,0.0,0.15384615384615383,0.033031643180138064,0.30769230769230765,0.1818181818181818,0.30769230769230765
What can one do after MBBS?,What do i do after my MBBS ?,What can one necessary_blawn following MBBS?,6.8099541664123535,exactly could only want before MBBS?,2.645854949951172,is--what could another does before MBBS?,0.9264330863952636,0.5764974,0.6053548,0.5438914,0.6393729,0.5983584,0.6631558,0.02925226826055808,0.2857142857142857,0.0,0.2857142857142857,0.0,0.15384615384615383,0.0,0.15384615384615383,0.0,0.2857142857142857,0.0,0.2857142857142857
What is the best self help book you have read? Why? How did it change your life?,What are the top self help books I should read?,What is the best self helping script write_legibly `_ve read? Why? How did it change your life?,16.567418336868286,exactly was this finest narcissistic helping tome your 've read? Why? what didn_`_t that changes you life?,6.716494083404541,is--what was its best- self- assist boook you--you had read? Why? what does itself changes my life?,2.0831940174102783,0.39907545,0.5229176,0.3982921,0.60022557,0.51301295,0.7575284,0.01626739260030573,0.35714285714285715,0.07692307692307691,0.35714285714285715,0.011502783619900045,0.21428571428571427,0.0,0.14285714285714285,0.011502783619900045,0.20689655172413793,0.0,0.20689655172413793
What will be Hillary Clinton's policy towards India if she becomes president?,What will be Hilary Clinton's policy towards India if she become President?,What will were Hillary Clinton's policy towards India if she becomes president?,1.694258451461792,exactly wil being john_mccain Clinton's policies toward indian unless her become president?,1.965137481689453,is--what willl should clinton Clinton's policies toward india. when he become president?,0.8489980697631836,0.97883224,0.9920162,0.7345073,0.75363797,0.8284395,0.837276,0.46924700641055994,0.8461538461538461,0.75,0.8461538461538461,0.020255986027125642,0.5185185185185186,0.32,0.5185185185185186,0.020255986027125642,0.5925925925925927,0.4,0.5925925925925927
Which is the best book to study TENSOR for general relativity from basic?,Which is the best book for tensor calculus?,Which is the best script to surveys TENSOR for general relativity inthe basic?,3.880133867263794,The was this finest tome to studies uniaxial forthe gen_eral general_relativity fromthe basic?,2.886138916015625,that was its best- boook here--to studies tensors time--for non-general relativistic fromthe basic?,1.263720989227295,0.60439324,0.73442906,0.35483176,0.50475645,0.47677544,0.5408492,0.2044800736021839,0.5714285714285714,0.3157894736842105,0.4761904761904762,0.0,0.08695652173913045,0.0,0.08695652173913045,0.0,0.25,0.0,0.16666666666666666
What are the coolest Android hacks and tricks you know?,What are some cool hacks for Android phones?,What are the coolest Android hacks and tricks write_legibly know?,1.1437175273895264,exactly were this neatest droid hack and trick your know?,1.945911169052124,is--what were its hottest androids hack both trick you--you know?,1.0300824642181396,0.8049502,0.86699414,0.60550916,0.6831566,0.7390863,0.82211494,0.05307712171072445,0.4210526315789474,0.11764705882352941,0.3157894736842105,0.0,0.11111111111111112,0.0,0.11111111111111112,0.0,0.3,0.0,0.2
Which are the best motivational videos?,What are some of the best motivational clips?,Which are the best motivational videos?,0.0,The were this finest inspirational videos?,1.3791828155517578,that were its best- inspirational videos?,0.7110381126403809,0.8278491,1.0000001,0.51693094,0.6423115,0.51935536,0.6509373,0.15557221826646012,0.5714285714285715,0.3333333333333333,0.5714285714285715,0.0,0.14285714285714288,0.0,0.14285714285714288,0.0,0.14285714285714288,0.0,0.14285714285714288
How do I lose weight fast?,What is the best way to reduce weight fast?,How necessary_blawn one lose weight fast?,2.238778829574585,what want ive losing weights fast?,1.330024242401123,what does u losing weight- fast?,0.6406996250152588,0.6932558,0.7353063,0.5862146,0.53459495,0.64126,0.69179654,0.05236421927181383,0.25,0.14285714285714288,0.25,0.024761510494160165,0.4,0.15384615384615385,0.4,0.024761510494160165,0.4,0.15384615384615385,0.4
How does an IQ test work and what is determined from an IQ test?,How does IQ test works?,How does an IQ test work and what is determined inthe an IQ test?,1.0526273250579834,what did another bob_dylan tests working and exactly was determine fromthe another bob_dylan test?,3.1591780185699463,what doest even-more I.Q tests works both is--what was determinated fromthe even-more I.Q test?,1.1917774677276611,0.93417746,0.9592173,0.41423967,0.40165263,0.57913125,0.5032642,0.04271802513581977,0.5263157894736842,0.3529411764705882,0.5263157894736842,0.0,0.19047619047619047,0.10526315789473685,0.19047619047619047,0.0,0.16666666666666666,0.0909090909090909,0.16666666666666666
Is it safe to use Xiaomi mobile phones?,Is it safe or unsafe to use Xiaomi Products?,Is it hazardous to utilized Xiaomi mobile phones?,2.311896085739136,was that safer to using Xiaomi mobile_phones phones?,1.3325395584106443,was itself safer here--to used Xiaomi non-mobile phones?,0.7952499389648438,0.81174874,0.91672635,0.7575258,0.8782741,0.7655995,0.8487483,0.06164542728425844,0.47058823529411764,0.13333333333333333,0.47058823529411764,0.02915032279375143,0.3333333333333333,0.25,0.3333333333333333,0.024512401940754224,0.3157894736842105,0.23529411764705882,0.3157894736842105
