original,reference,paraphrased,time_taken,similarity_to_reference,similarity_to_original
Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",Astrology: one am a Capricorn Sun Cap moon and cap rising...what does that argue around me?,5.363964557647705,0.7112651,0.8812969
How can I be a good geologist?,What should I do to be a great geologist?,How can one were a well geologist?,2.920595645904541,0.8212818,0.8623845
How do I read and find my YouTube comments?,How can I see all my Youtube comments?,How necessary_blawn one show and uncover my YouTube comments?,4.860836029052734,0.6072825,0.59178025
What can make Physics easy to learn?,How can you make physics easy to learn?,What can made Physics simple to learn?,2.028656482696533,0.9378748,0.95910454
What was your first sexual experience like?,What was your first sexual experience?,What was your first sexual experience like?,0.0,0.97179484,1.0000001
What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,What would a Trump presidency mean for current international master’s students into an F1 visa?,1.0150845050811768,0.6594471,0.9951437
What does manipulation mean?,What does manipulation means?,What does manipulation mean?,0.0,0.9894214,0.9999999
Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,Why are so many Quora users posting questions that are readily answered into Google?,0.9994704723358154,0.90773964,0.9931688
Why do rockets look white?,Why are rockets and boosters painted white?,Why necessary_blawn rockets face white?,2.0302236080169678,0.72814935,0.827337
How should I prepare for CA final law?,How one should know that he/she completely prepare for CA final exam?,How should one prepare for CA final law?,1.0013039112091064,0.6938705,0.9912411
What are some special cares for someone with a nose that gets stuffy during the night?,How can I keep my nose from getting stuffy at night?,What are some special cares for someone write_legibly a nose that gets stuffy preceding the night?,1.9688224792480469,0.63861775,0.8082061
What Game of Thrones villain would be the most likely to give you mercy?,What Game of Thrones villain would you most like to be at the mercy of?,What punt connected Thrones scoundrel would were the most likely to leave write_legibly mercy?,5.846898078918457,0.56936616,0.6246573
How do we prepare for UPSC?,How do I prepare for civil service?,How necessary_blawn we prepare for UPSC?,0.999901533126831,0.40861702,0.78765
What are some examples of products that can be make from crude oil?,What are some of the products made from crude oil?,What are some examples connected products that can were made inthe crude oil?,4.658312082290649,0.82498026,0.8678153
How do I make friends.,How to make friends ?,How necessary_blawn one made friends.,3.511753797531128,0.3808534,0.3787884
Is Career Launcher good for RBI Grade B preparation?,How is career launcher online program for RBI Grade B?,Is Career Launcher well for RBI Grade B preparation?,1.1251122951507568,0.80478865,0.993757
"Will a Blu Ray play on a regular DVD player? If so, how?",How can you play a Blu Ray DVD on a regular DVD player?,"Will a Blu Ray games into a standard DVD player? If so, how?",8.773598194122314,0.8256547,0.8724855
What is the best/most memorable thing you've ever eaten and why?,What is the most delicious dish you've ever eaten and why?,What is the best/most memorable thing you've ever eaten and why?,0.0,0.7865721,1.0000001
I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?,I can't remember my Gmail password or my recovery email. How can I recover my e-mail?,one was suddenly logged cancelled Gmail. one can't remember my Gmail password and just realized the recovery email is no longer alive. What can one do?,15.245343446731567,0.81634355,0.94392335
How is the new Harry Potter book 'Harry Potter and the Cursed Child'?,How bad is the new book by J.K Rowling?,How is the novel Harry Potter script 'Harry Potter and the Cursed Child'?,8.045186996459961,0.6017193,0.8708279
What is Java programming? How To Learn Java Programming Language ?,How do I learn a computer language like java?,What is Java programming? How To teaching Java Programming Language ?,3.785187005996704,0.73420453,0.9471673
What is the best book ever made?,What is the most important book you have ever read?,What is the best script ever made?,3.819408416748047,0.38188845,0.5967034
