Parent Embedding,Synonym-1 Embedding,Synonym-2 Embedding,Synonym-3 Embedding,Synonym-4 Embedding,Synonym-5 Embedding
"[0.1608242, 0.2858393, -0.14954397, 0.3416108, 0.25183606, 0.28230014, 0.36643338, -0.16462833, 0.09210758, -0.2141874, 0.27394053, -0.3195666, 0.23483972, 0.18492597, -0.2464199, -0.3360468, 0.043524534, 0.28853962, 0.03416713, -0.2826011]","[-0.0017744992416661165, 0.09256774242365098, -0.11778542206932024, 0.2724898443168945, 0.2854084126212619, 0.1240744417156237, 0.43941709515759225, -0.011548601403646053, -0.050316982212885525, -0.12929475651744574, 0.27394053, -0.3195666, 0.23483972, 0.18492597, -0.2464199, -0.3360468, 0.043524534, 0.28853962, 0.03416713, -0.2826011]","[0.052853676693874335, 0.20023587517788383, -0.06371237718227787, 0.17932424273507375, 0.26624196949267986, 0.24678860866186952, 0.3591847138743909, -0.06127849583560757, 0.24020751719102065, -0.13268128313027402, 0.27394053, -0.3195666, 0.23483972, 0.18492597, -0.2464199, -0.3360468, 0.043524534, 0.28853962, 0.03416713, -0.2826011]","[0.09183978823754341, 0.2488344404197464, -0.15006222101948707, 0.22136060586789308, 0.36832340168317806, 0.08897047277542544, 0.22093898194820402, -0.2937225332886248, 0.10078214155949936, -0.024097103191689367, 0.27394053, -0.3195666, 0.23483972, 0.18492597, -0.2464199, -0.3360468, 0.043524534, 0.28853962, 0.03416713, -0.2826011]","[0.028963558688359287, 0.26283138589989713, -0.3434329566122519, 0.1684574581765343, 0.12869621501059048, 0.3891616248484748, 0.17576935572084693, -0.14006768756748028, 0.02819171518407143, -0.06806436366537985, 0.27394053, -0.3195666, 0.23483972, 0.18492597, -0.2464199, -0.3360468, 0.043524534, 0.28853962, 0.03416713, -0.2826011]","[0.04475657378358881, 0.14784004818153598, 0.010990693570323201, 0.18526725796355, 0.24336214213178087, 0.1887871972824567, 0.4256858007676912, -0.09510361132748374, 0.14012548875703856, -0.36578505686139456, 0.27394053, -0.3195666, 0.23483972, 0.18492597, -0.2464199, -0.3360468, 0.043524534, 0.28853962, 0.03416713, -0.2826011]"
"[-0.26967606, 0.29605645, 0.30318773, 0.092688926, 0.23277897, 0.055070728, -0.23222043, 0.26474983, 0.08430071, -0.29546323, -0.2501788, -0.22035754, 0.21676806, -0.14395675, 0.33085525, 0.036105365, -0.089454494, 0.3071917, -0.17852111, -0.33810896]","[-0.20144030555334946, 0.19710478708750978, 0.1255134359872757, 0.1651042808668638, 0.26924478432442445, 0.12197684619526682, -0.1310245681611887, 0.07817681804988305, -0.09805049580685304, -0.30688757322043914, -0.2501788, -0.22035754, 0.21676806, -0.14395675, 0.33085525, 0.036105365, -0.089454494, 0.3071917, -0.17852111, -0.33810896]","[-0.11794731747020692, 0.4874436363356658, 0.1710885850992137, 0.05585140950397788, 0.152573657663013, 0.11514586655722879, -0.14565492054458853, 0.09133644212242958, -0.013265751456727717, -0.12244652185713856, -0.2501788, -0.22035754, 0.21676806, -0.14395675, 0.33085525, 0.036105365, -0.089454494, 0.3071917, -0.17852111, -0.33810896]","[-0.23067109333690505, 0.1139118072534149, 0.3958071714580944, 0.004586177766618668, 0.10896039938323782, -0.06066066344064948, -0.2370606906887295, 0.075208449773075, 0.14451985969716347, -0.24927184776245676, -0.2501788, -0.22035754, 0.21676806, -0.14395675, 0.33085525, 0.036105365, -0.089454494, 0.3071917, -0.17852111, -0.33810896]","[-0.2748802716638017, 0.37407651723903046, 0.1891707213115586, 0.0032329621025324468, 0.1475684932836536, -0.04812124499232111, -0.26501287275236546, 0.12102367833626917, -0.06873660455998429, -0.17921504420801354, -0.2501788, -0.22035754, 0.21676806, -0.14395675, 0.33085525, 0.036105365, -0.089454494, 0.3071917, -0.17852111, -0.33810896]","[-0.2188256535487627, 0.20904802127185057, 0.20847264611769287, -0.09437667877755607, 0.2637318041482274, 0.20843984416199496, -0.10120301513554844, 0.3000910188179282, 0.17091796229053907, -0.1361198878276803, -0.2501788, -0.22035754, 0.21676806, -0.14395675, 0.33085525, 0.036105365, -0.089454494, 0.3071917, -0.17852111, -0.33810896]"
"[-0.30646527, 0.21121565, 0.21132122, -0.05912831, 0.1645594, -0.123736285, -0.14884396, 0.24628979, -0.08647615, -0.33673263, -0.29519477, -0.26723102, 0.26349583, -0.24203816, 0.3232336, -0.07677895, -0.16597888, 0.28597802, -0.19201417, -0.3035615]","[-0.15755142230698077, 0.14911992927053827, 0.08750748692631287, -0.1150843967508287, 0.045013113936401825, -0.18814261113913522, -0.13738539176961329, 0.269182453866619, -0.1699233533288396, -0.22891594633093976, -0.29519477, -0.26723102, 0.26349583, -0.24203816, 0.3232336, -0.07677895, -0.16597888, 0.28597802, -0.19201417, -0.3035615]","[-0.13969684165758023, 0.04422302771069414, 0.1453026770206324, 0.0042119135477952235, 0.04223814668736478, -0.11345086340805716, -0.08343168298177844, 0.07082107112624841, -0.24171365335141806, -0.41941236948827304, -0.29519477, -0.26723102, 0.26349583, -0.24203816, 0.3232336, -0.07677895, -0.16597888, 0.28597802, -0.19201417, -0.3035615]","[-0.2506773816133707, 0.3890553154702442, 0.1716600541364562, 0.13308595771449894, 0.04035220583126889, 0.07495331607334405, -0.07285043146565395, 0.12626347117833586, -0.00041496855508535435, -0.21789196817937662, -0.29519477, -0.26723102, 0.26349583, -0.24203816, 0.3232336, -0.07677895, -0.16597888, 0.28597802, -0.19201417, -0.3035615]","[-0.13716258949321258, 0.25690332411604827, 0.1264278319072945, -0.020699468965723597, -0.030873124794794676, -0.2532612356084625, -0.286469239545419, 0.13161746526064655, -0.08080272053822071, -0.26531123666788126, -0.29519477, -0.26723102, 0.26349583, -0.24203816, 0.3232336, -0.07677895, -0.16597888, 0.28597802, -0.19201417, -0.3035615]","[-0.3436334845281002, 0.27990693466539407, 0.058678168371574385, 0.09182106766782568, 0.16574029053905726, -0.11794494667576677, -0.03888635841438409, 0.1638744235187462, -0.2862979649386956, -0.19432197242968846, -0.29519477, -0.26723102, 0.26349583, -0.24203816, 0.3232336, -0.07677895, -0.16597888, 0.28597802, -0.19201417, -0.3035615]"
"[-0.2934648, 0.44225743, 0.16846304, 0.007922583, 0.04746164, 0.030744627, -0.23119944, 0.4001453, -0.3261895, -0.43633658, -0.1657471, 0.026632719, 0.3899165, 0.03878486, 0.3960291, -0.023215946, -0.0428577, 0.4159095, 0.12842016, -0.32061118]","[-0.22880199812849739, 0.3099366183794084, 0.08242158970998034, 0.1321532024124872, 0.060636934106938906, 0.1255971711455864, -0.1433438602892154, 0.3722413731105252, -0.2918056900297087, -0.3604576019953963, -0.1657471, 0.026632719, 0.3899165, 0.03878486, 0.3960291, -0.023215946, -0.0428577, 0.4159095, 0.12842016, -0.32061118]","[-0.32928744171105206, 0.4143320921424487, 0.05542402281730138, -0.010427002027037374, 0.018827662233344505, 0.15722588126030948, -0.13307664886545265, 0.30563627137710114, -0.25479274184217887, -0.3191349462254923, -0.1657471, 0.026632719, 0.3899165, 0.03878486, 0.3960291, -0.023215946, -0.0428577, 0.4159095, 0.12842016, -0.32061118]","[-0.3434454481407436, 0.25758689555744674, 0.09013937322547888, 0.12908055347470906, 0.0985586244342849, 0.06359069015379207, -0.2656352216447887, 0.4503216615745974, -0.2391845716877974, -0.2961063600819956, -0.1657471, 0.026632719, 0.3899165, 0.03878486, 0.3960291, -0.023215946, -0.0428577, 0.4159095, 0.12842016, -0.32061118]","[-0.29252191696972774, 0.26506847161353764, 0.13365882133500806, 0.03785756394082086, 0.18195173488340413, -0.06506800154855011, -0.23839729051929162, 0.3242152042777433, -0.3715357113186265, -0.39857690025572956, -0.1657471, 0.026632719, 0.3899165, 0.03878486, 0.3960291, -0.023215946, -0.0428577, 0.4159095, 0.12842016, -0.32061118]","[-0.35477885040369755, 0.3700470757608858, -0.007198789771903885, 0.04589058774666656, 0.02382646875575617, 0.21680865323591877, -0.1241806305971074, 0.41960496247789736, -0.40572638123468713, -0.24972626780634166, -0.1657471, 0.026632719, 0.3899165, 0.03878486, 0.3960291, -0.023215946, -0.0428577, 0.4159095, 0.12842016, -0.32061118]"
"[0.34777096, -0.24819946, -0.29373103, -0.2195809, 0.21248342, -0.2251555, 0.14937745, -0.21833792, -0.011407668, 0.019636659, 0.20175612, -0.11720071, -0.006350657, 0.27235928, -0.24620615, -0.18204848, -0.33113825, 0.32442963, 0.2624656, -0.2414044]","[0.2949689191100341, -0.09280630697318923, -0.31101483327301194, -0.31248038801317823, 0.1118017144684528, -0.16348423968472836, 0.045695002419911784, -0.06358834145475908, 0.15636245171630545, -0.021330617795734752, 0.20175612, -0.11720071, -0.006350657, 0.27235928, -0.24620615, -0.18204848, -0.33113825, 0.32442963, 0.2624656, -0.2414044]","[0.2388632213248575, -0.11509541307931201, -0.13024526137525855, -0.2704500047395097, 0.1650652664419445, -0.19224554977321143, 0.2302720857882675, -0.290300770089124, -0.006456657961454466, -0.03522741239645952, 0.20175612, -0.11720071, -0.006350657, 0.27235928, -0.24620615, -0.18204848, -0.33113825, 0.32442963, 0.2624656, -0.2414044]","[0.40579819089993835, -0.1987252536044246, -0.39224905167410556, -0.11651396304053988, 0.021448557891911246, -0.036879279885926874, 0.02679445727703547, -0.12287059033868988, -0.04825107603719546, 0.05409830087109227, 0.20175612, -0.11720071, -0.006350657, 0.27235928, -0.24620615, -0.18204848, -0.33113825, 0.32442963, 0.2624656, -0.2414044]","[0.23705360889852545, -0.19919459907525913, -0.3273337961410211, -0.18506018933389673, 0.1813897037075871, -0.18002474572246596, 0.12056102057980783, -0.34132587048067514, -0.012466835639340468, -0.00853090947862628, 0.20175612, -0.11720071, -0.006350657, 0.27235928, -0.24620615, -0.18204848, -0.33113825, 0.32442963, 0.2624656, -0.2414044]","[0.36198256136274465, -0.26896897609960446, -0.1178902177733776, -0.08603906475297693, 0.2557223835165452, -0.04229240487541197, 0.10713486279829129, -0.320709988234163, -0.025386043858660463, -0.17802126060043325, 0.20175612, -0.11720071, -0.006350657, 0.27235928, -0.24620615, -0.18204848, -0.33113825, 0.32442963, 0.2624656, -0.2414044]"
"[-0.27222708, 0.30430856, 0.15782686, -0.27581066, 0.280245, 0.22826336, -0.17772013, -0.19714572, 0.38262987, -0.15888467, -0.25488734, 0.12223907, -0.245904, -0.3826851, -0.06551633, -0.20044248, 0.24684657, 0.3249755, 0.18522902, -0.036298286]","[-0.4712587233843526, 0.17027786629108924, 0.17633092950237705, -0.16139462405513405, 0.09931255351638121, 0.18525355311835118, -0.1568191082256223, -0.059834567967638724, 0.18317462863615702, -0.183128301630492, -0.25488734, 0.12223907, -0.245904, -0.3826851, -0.06551633, -0.20044248, 0.24684657, 0.3249755, 0.18522902, -0.036298286]","[-0.3553337756894851, 0.29356086184409425, 0.09422681738487679, -0.17394691112083838, 0.2380139890888322, 0.22882734880876213, -0.26054279077020215, -0.015461984803884637, 0.20155028878977138, -0.055403967594882475, -0.25488734, 0.12223907, -0.245904, -0.3826851, -0.06551633, -0.20044248, 0.24684657, 0.3249755, 0.18522902, -0.036298286]","[-0.16997382642317238, 0.3613688957172685, 0.12551257492709003, -0.17994082635484604, 0.2217889867255933, 0.2485288872727558, -0.22734287359102925, -0.05000601251724632, 0.29802474012760805, -0.2542818083668046, -0.25488734, 0.12223907, -0.245904, -0.3826851, -0.06551633, -0.20044248, 0.24684657, 0.3249755, 0.18522902, -0.036298286]","[-0.09457836454115665, 0.4114471604854868, 0.0302075462025147, -0.22390462713044346, 0.17489384522846319, 0.1706418244899685, -0.23836244967123735, -0.30574892789659247, 0.304664845698832, 0.004060363173671422, -0.25488734, 0.12223907, -0.245904, -0.3826851, -0.06551633, -0.20044248, 0.24684657, 0.3249755, 0.18522902, -0.036298286]","[-0.261986632911382, 0.16582130047167043, -0.015157992902763012, -0.3747351373310801, 0.141329671834389, 0.03614432324123257, -0.3341183949720907, -0.13119908536110556, 0.37755956882434105, -0.061951693115615714, -0.25488734, 0.12223907, -0.245904, -0.3826851, -0.06551633, -0.20044248, 0.24684657, 0.3249755, 0.18522902, -0.036298286]"
"[-0.31040624, 0.30597585, 0.1280401, -0.17670803, 0.19130987, 0.14410542, -0.21177806, 0.21216168, -0.10937299, -0.32950464, -0.2416887, -0.260007, 0.19949496, -0.21144333, 0.2974954, 0.24869192, -0.17919159, 0.3003149, -0.2258615, -0.3259279]","[-0.17599390524329134, 0.17258589796532153, -0.039901630483277745, -0.28262184102643234, 0.1648413766192383, -0.0054111881004828, -0.09314114391483386, 0.09128524505765973, -0.12204673186772, -0.3260185002213658, -0.2416887, -0.260007, 0.19949496, -0.21144333, 0.2974954, 0.24869192, -0.17919159, 0.3003149, -0.2258615, -0.3259279]","[-0.1313607322319052, 0.15369582389001699, -0.06833717639688577, -0.1210105911742482, 0.12034457508430219, 0.13728378075598335, -0.20795486019049989, 0.17589554718736927, 0.027523557071989613, -0.4438599413138287, -0.2416887, -0.260007, 0.19949496, -0.21144333, 0.2974954, 0.24869192, -0.17919159, 0.3003149, -0.2258615, -0.3259279]","[-0.11257075278423095, 0.12596427849113984, 0.2959468963143878, -0.2541808847679165, 0.10826450221230566, -0.043149250574050946, -0.08172522499137197, 0.2077828828791412, -0.17550198085886468, -0.36289176427291076, -0.2416887, -0.260007, 0.19949496, -0.21144333, 0.2974954, 0.24869192, -0.17919159, 0.3003149, -0.2258615, -0.3259279]","[-0.2110478038240835, 0.3449569813912754, 0.009694175479724745, -0.09714785576078785, 0.23318479365965517, 0.028491912042754572, -0.13430969026487682, 0.25573560784369487, 0.017236987732231313, -0.3164137611485363, -0.2416887, -0.260007, 0.19949496, -0.21144333, 0.2974954, 0.24869192, -0.17919159, 0.3003149, -0.2258615, -0.3259279]","[-0.2701232012882191, 0.2186963675539466, 0.07634099639773129, 0.017214722821094403, 0.009522444701680843, 0.11190214741374432, -0.3435363542328698, 0.16513758003806908, -0.2557793006685639, -0.2978153989422915, -0.2416887, -0.260007, 0.19949496, -0.21144333, 0.2974954, 0.24869192, -0.17919159, 0.3003149, -0.2258615, -0.3259279]"
"[-0.26280773, 0.25606197, 0.1021046, -0.21692647, 0.22331755, 0.093865566, -0.14772873, 0.15185648, -0.28811437, -0.27988985, -0.18467078, -0.28165203, 0.26747182, -0.2733982, 0.3388777, -0.13809173, -0.27616337, 0.29175732, -0.08309956, -0.26293045]","[-0.1575064520316773, 0.0777357132508974, 0.01799446996066474, -0.3573516072908616, 0.19424394104481554, 0.03168424740548599, -0.08773661529991891, -0.03728154829065192, -0.14861475718413975, -0.17608490719448894, -0.18467078, -0.28165203, 0.26747182, -0.2733982, 0.3388777, -0.13809173, -0.27616337, 0.29175732, -0.08309956, -0.26293045]","[-0.11981702791356941, 0.24478469028540753, -0.046054015009646246, -0.0522512945568335, 0.15613986878598202, 0.15788889736462736, -0.03010995677698644, 0.09257749954274236, -0.28269959412391665, -0.216101089106373, -0.18467078, -0.28165203, 0.26747182, -0.2733982, 0.3388777, -0.13809173, -0.27616337, 0.29175732, -0.08309956, -0.26293045]","[-0.2171147476360949, 0.27874036049592577, 0.021847769827553057, -0.2791934525164249, 0.18662340449524656, -0.08228903145779277, -0.0276673710280044, 0.024334313405309227, -0.21829936667351357, -0.10285194277618903, -0.18467078, -0.28165203, 0.26747182, -0.2733982, 0.3388777, -0.13809173, -0.27616337, 0.29175732, -0.08309956, -0.26293045]","[-0.17052590705847825, 0.06194998218353548, 0.17264592521345556, -0.22003098318793696, 0.13462528177355532, 0.26760088256284253, -0.0028975818310972012, 0.13956852407510087, -0.12370126563149808, -0.28034769002220805, -0.18467078, -0.28165203, 0.26747182, -0.2733982, 0.3388777, -0.13809173, -0.27616337, 0.29175732, -0.08309956, -0.26293045]","[-0.07945666353207309, 0.4420831273841117, 0.07170739738813901, -0.021474624839500217, 0.11023587225861535, -0.06165660681376321, 0.04293401059769367, 0.006094043759500872, -0.2902110556463971, -0.19916384895249184, -0.18467078, -0.28165203, 0.26747182, -0.2733982, 0.3388777, -0.13809173, -0.27616337, 0.29175732, -0.08309956, -0.26293045]"
"[-0.3457685, 0.31951278, -0.09769989, -0.21755436, 0.18107161, 0.23864487, -0.021846376, 0.16765465, -0.2891313, -0.36113352, -0.091360584, -0.2104155, 0.31407452, -0.16352578, 0.24398695, 0.07212432, -0.22215965, 0.22018543, -0.124115564, -0.38068935]","[-0.29586874141403874, 0.41582387925230063, -0.12421762580121191, -0.21787092016947773, 0.061020914745931104, 0.05699413331025488, 0.019503252615139216, 0.09614633646369186, -0.09053739886135481, -0.24218906800490103, -0.091360584, -0.2104155, 0.31407452, -0.16352578, 0.24398695, 0.07212432, -0.22215965, 0.22018543, -0.124115564, -0.38068935]","[-0.27004916371659665, 0.21790212742274967, 0.08538337619077664, -0.29994152119380485, 0.0723933337660854, 0.3047572481308516, 0.0328858288720294, 0.14981455838681215, -0.10425451047599604, -0.24386191056451856, -0.091360584, -0.2104155, 0.31407452, -0.16352578, 0.24398695, 0.07212432, -0.22215965, 0.22018543, -0.124115564, -0.38068935]","[-0.15116346582464762, 0.1557981594864505, 0.025797787943872844, -0.09279592007261389, 0.11886658549619267, 0.3642756717547198, 0.036429660836485966, 0.09307330705900194, -0.34304608953901616, -0.30775317218977594, -0.091360584, -0.2104155, 0.31407452, -0.16352578, 0.24398695, 0.07212432, -0.22215965, 0.22018543, -0.124115564, -0.38068935]","[-0.1545207088639985, 0.133377360574425, 0.03781134306443064, -0.32182681281623354, 0.09724794038806304, 0.3897287946394879, -0.10820819571990192, 0.046218938924294684, -0.2459421204284764, -0.2148842830071656, -0.091360584, -0.2104155, 0.31407452, -0.16352578, 0.24398695, 0.07212432, -0.22215965, 0.22018543, -0.124115564, -0.38068935]","[-0.1480998031653008, 0.1650041663952125, 0.09076088418481161, -0.02134859324356797, 0.08885849254428167, 0.424897105234085, -0.12276115600068457, 0.23593089051090985, -0.2845502230494096, -0.21613846576979573, -0.091360584, -0.2104155, 0.31407452, -0.16352578, 0.24398695, 0.07212432, -0.22215965, 0.22018543, -0.124115564, -0.38068935]"
"[-0.29070893, 0.21788248, -0.016080469, -0.26955655, 0.25127906, 0.20417082, -0.08698966, -0.054226097, -0.25454038, -0.27642262, -0.06359588, -0.3391463, 0.1785129, -0.3453879, 0.3083011, 0.13754176, -0.26973644, 0.27214855, -0.21436965, -0.25016922]","[-0.13916299860462183, 0.07549988535727656, -0.12228807692108946, -0.11811383607470954, 0.13881566094990128, 0.186254021553484, 0.10222062049595762, -0.009106294751273586, -0.21362126381618435, -0.12661039019857306, -0.06359588, -0.3391463, 0.1785129, -0.3453879, 0.3083011, 0.13754176, -0.26973644, 0.27214855, -0.21436965, -0.25016922]","[-0.10612656882299776, 0.09032648917388902, 0.003753257888969533, -0.1250193622795281, 0.08177887426950639, 0.22462201065763182, 0.05931935454782125, 0.09360234573414514, -0.13701793453224487, -0.4117763237564631, -0.06359588, -0.3391463, 0.1785129, -0.3453879, 0.3083011, 0.13754176, -0.26973644, 0.27214855, -0.21436965, -0.25016922]","[-0.23057757317900712, 0.1726314145472834, 0.04619695414784762, -0.3854583230274157, 0.11236451180319632, 0.09906172944757693, -0.03528640802370661, -0.14272265379793966, -0.14994603288862302, -0.223300287041996, -0.06359588, -0.3391463, 0.1785129, -0.3453879, 0.3083011, 0.13754176, -0.26973644, 0.27214855, -0.21436965, -0.25016922]","[-0.31011490312351214, 0.2865538607160938, -0.05488224634663515, -0.2631192360078287, 0.2426965808057873, 0.04671057242246607, -0.1407493518319856, -0.06783360503404623, -0.0706941135632328, -0.12612211202163848, -0.06359588, -0.3391463, 0.1785129, -0.3453879, 0.3083011, 0.13754176, -0.26973644, 0.27214855, -0.21436965, -0.25016922]","[-0.20806583025500192, 0.2334965856042498, -0.09507449020194293, -0.3539808556289126, 0.1079567973849096, 0.04238502492532675, 0.070266424280257, -0.10787388522917643, -0.1455840317539418, -0.31966019731465584, -0.06359588, -0.3391463, 0.1785129, -0.3453879, 0.3083011, 0.13754176, -0.26973644, 0.27214855, -0.21436965, -0.25016922]"
