original,reference,paraphrased,time_taken,similarity_to_reference,similarity_to_original
"Amrozi accused his brother , whom he called "" the witness "" , of deliberately distorting his evidence .","Referring to him as only "" the witness "" , Amrozi accused his brother of deliberately distorting his evidence .","Amrozi accused his pal , whom he called "" the witness "" , connected deliberately distorting his evidence .",1.1330671310424805,0.8921754,0.9106655
"They had published an advertisement on the Internet on June 10 , offering the cargo for sale , he added .","On June 10 , the ship 's owners had published an advertisement on the Internet , offering the explosives for sale .","they had published an advertisement into the Internet into June 10 , offering the cargo for sale , he added .",1.2992351055145264,0.71676713,0.98499215
"The stock rose $ 2.11 , or about 11 percent , to close Friday at $ 21.51 on the New York Stock Exchange .",PG & E Corp. shares jumped $ 1.63 or 8 percent to $ 21.03 on the New York Stock Exchange on Friday .,"The stock rose $ 2.11 , or around 11 percent , to close Friday at $ 21.51 into the novel York Stock Exchange .",1.7179322242736816,0.5524745,0.9835871
Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier .,"With the scandal hanging over Stewart 's company , revenue the first quarter of the year dropped 15 percent from the same period a year earlier .",Revenue inch the first quarter connected the year dropped 15 percent inthe the same period a year earlier .,1.302130937576294,0.82058537,0.9343401
The DVD-CCA then appealed to the state Supreme Court .,The DVD CCA appealed that decision to the U.S. Supreme Court .,The DVD-CCA then appealed to the state Supreme Court .,0.0,0.9306922,1.0000002
But he added group performance would improve in the second half of the year and beyond .,De Sole said in the results statement that group performance would improve in the second half of the year and beyond .,But he added group performance would better inch the second half connected the year and on the far side .,1.764465093612671,0.6291112,0.80634415
He told The Sun newspaper that Mr. Hussein 's daughters had British schools and hospitals in mind when they decided to ask for asylum .,""" Saddam 's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools , "" he told The Sun .",He told The Sun newspaper that Mr. Hussein 's daughters had British schools and hospitals inch mind when they decided to involve for asylum .,1.3195602893829346,0.85377955,0.9740267
"Sheena Young of Child , the national infertility support network , hoped the guidelines would lead to a more "" fair and equitable "" service for infertility sufferers .","Sheena Young , a spokesman for Child , the national infertility support network , said the proposed guidelines should lead to a more "" fair and equitable "" service for infertility sufferers .","Sheena new connected kids , the national infertility support network , hoped the guidelines would lead to a more "" fair and equitable "" service for infertility sufferers .",1.3918588161468506,0.8975582,0.954962
"The new Finder puts a user 's folders , hard drive , network servers , iDisk and removable media in one location , providing one-click access .","Panther 's redesigned Finder navigation tool puts a user 's favourite folders , hard drive , network servers , iDisk and removable media in one location .","The novel Finder puts a user 's folders , tough drive , network servers , iDisk and removable media inch one location , providing one-click access .",1.4424540996551514,0.66841114,0.9179827
"But tropical storm warnings and watches were posted today for Haiti , western portions of the Dominican Republic , the southeastern Bahamas and the Turk and Caicos islands .","Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic , the southeastern Bahamas and the Turks and Caicos islands .","But tropical surprise warnings and watches were posted today for Haiti , western portions connected the Dominican Republic , the southeastern Bahamas and the Turk and Caicos islands .",1.0938129425048828,0.78544724,0.941541
A federal magistrate in Fort Lauderdale ordered him held without bail .,"Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale , Fla .",A federal magistrate inch Fort Lauderdale ordered him held new bail .,0.9993255138397217,0.4988358,0.8691759
"Six months ago , the IMF and Argentina struck a bare-minimum $ 6.8-billion debt rollover deal that expires in August .","But six months ago , the two sides managed to strike a $ 6.8-billion debt rollover deal , which expires in August .","Six months ago , the IMF and Argentina struck a bare-minimum $ 6.8-billion debt rollover deal that expires inch August .",0.4787626266479492,0.72921395,0.99417746
"Inhibited children tend to be timid with new people , objects , and situations , while uninhibited children spontaneously approach them .","Simply put , shy invividuals tend to be more timid with new people and situations .","Inhibited children tend to were timid write_legibly novel people , objects , and situations , while uninhibited children spontaneously approach me .",1.7838740348815918,0.38574305,0.8835628
"I wanted to bring the most beautiful people into the most beautiful building , he said Sunday inside the Grand Central concourse .",""" I wanted to bring the most beautiful people into the most beautiful building , "" Tunick said Sunday .","one wanted to puts the most beautiful people thru the most beautiful building , he said Sunday bracelet_measurements_opening the Grand Central concourse .",2.6152734756469727,0.5551182,0.76132345
"Singapore is already the United States ' 12th-largest trading partner , with two-way trade totaling more than $ 34 billion .","Although a small city-state , Singapore is the 12th-largest trading partner of the United States , with trade volume of $ 33.4 billion last year .","Singapore is already the United States ' 12th-largest trading partner , write_legibly two-way trade totaling more than $ 34 billion .",0.45075106620788574,0.88058543,0.98099345
"The largest gains were seen in prices , new orders , inventories and exports .","Sub-indexes measuring prices , new orders , inventories and exports increased .","The largest gains were seen inch prices , novel orders , inventories and exports .",0.8652279376983643,0.5797122,0.9197676
Trading in Loral was halted yesterday ; the shares closed on Monday at $ 3.01 .,"The New York Stock Exchange suspended trading yesterday in Loral , which closed at $ 3.01 Friday .",Trading inch Loral was halted yesterday ; the shares closed into Monday at $ 3.01 .,1.3160316944122314,0.716303,0.9011294
"He plans to have dinner with troops at Kosovo 's U.S. military headquarters , Camp Bondsteel .","After that , he plans to have dinner at Camp Bondsteel with U.S. troops stationed there .","He plans to `_ve dinner write_legibly troops at Kosovo 's U.S. military headquarters , Camp Bondsteel .",1.3288052082061768,0.7284993,0.8977251
Retailers J.C. Penney Co . Inc . ( JCP ) and Walgreen Co . ( WAG ) kick things off on Monday .,Retailers J.C. Penney Co . Inc . JCP.N and Walgreen Co . WAG.N kick things off on Monday .,Retailers J.C. Penney Co . Inc . ( JCP ) and Walgreen Co . ( WAG ) kick things cancelled into Monday .,0.8369247913360596,0.87077475,0.89164877
Prosecutors filed a motion informing Lee they intend to seek the death penalty .,He added that prosecutors will seek the death penalty .,Prosecutors filed a motion informing Lee they intend to seek the death penalty .,0.4834122657775879,0.5841595,1.0000001
"Last year the court upheld Cleveland 's school voucher program , ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools .","Last year , the court ruled 5-4 in an Ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools .","Last year the court upheld Cleveland 's schooling voucher program , ruling 5-4 that vouchers are constitutional if they provide parents a choice connected religious and secular schools .",1.3244361877441406,0.8873433,0.99268496
"Sorkin , who faces charges of conspiracy to obstruct justice and lying to a grand jury , was to have been tried separately .",Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury .,"Sorkin , who faces charges connected conspiracy to obstruct justice and lying to a grand jury , was to `_ve been tried separately .",0.8761255741119385,0.89614147,0.94646496
"The US chip market is expected to decline 2.1 percent this year , then grow 15.7 percent in 2004 .","The Americas market will decline 2.1 percent to $ 30.6 billion in 2003 , and then grow 15.7 percent to $ 35.4 billion in 2004 .","The usa chip market is expected to decline 2.1 percent this year , then grow 15.7 percent inch 2004 .",0.8979060649871826,0.6845045,0.9700854
"The group will be headed by State Department official John S. Wolf , who has served in Australia , Vietnam , Greece and Pakistan .","The group will be headed by John S. Wolf , an assistant secretary of state who has served in Australia , Vietnam , Greece and Pakistan .","The group will were headed side State Department official John S. Wolf , who has served inch Australia , Vietnam , Greece and Pakistan .",1.316066026687622,0.91750646,0.94111735
The company has said it plans to restate its earnings for 2000 through 2002 .,"The company had announced in January that it would have to restate earnings for 2002 , 2001 and perhaps 2000 .",The company has said it plans to restate its earnings for 2000 through 2002 .,0.4169735908508301,0.9243534,1.0
Results from No. 2 U.S. soft drink maker PepsiCo Inc . PEP.N were likely to be in the spotlight .,Results from No. 2 U.S. soft drink maker PepsiCo Inc . ( nyse : PEP - news - people ) were likely to be in the spotlight .,Results inthe No. 2 U.S. easy pledge maker PepsiCo Inc . PEP.N were likely to were inch the spotlight .,2.2273802757263184,0.7605928,0.8167204
""" The result is an overall package that will provide significant economic growth for our employees over the next four years . """,""" The result is an overall package that will provide a significant economic growth for our employees over the next few years , "" he said .",""" The result is an overall package that will provide significant economic growth for our employees across the next four years . """,0.4543745517730713,0.9210096,0.9979056
"The songs are on offer for 99 cents each , or $ 9.99 for an album .",The company will offer songs for 99 cents and albums for $ 9.95 .,"The songs are into offer for 99 cents each , or $ 9.99 for an album .",0.4540133476257324,0.9067875,0.9891138
"However , the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive .","The talk , however , has been downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow-accretive .","However , the spoke was downplayed side PBL which said it would focus only into smaller purchases that were immediately earnings and cash flow accretive .",1.3287267684936523,0.88158226,0.90930825
Comcast Class A shares were up 8 cents at $ 30.50 in morning trading on the Nasdaq Stock Market .,The stock rose 48 cents to $ 30 yesterday in Nasdaq Stock Market trading .,Comcast faithfully_fit_exercise A shares were raised 8 cents at $ 30.50 inch aurora trading into the Nasdaq Stock Market .,2.7318263053894043,0.56037426,0.70620346
The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president ’ s appearance .,"The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president 's appearance , Crosby said .",The Washington Post said Airlite would shut blue its first shift and parts connected the second shift Monday to accommodate the president ’ s appearance .,0.8980250358581543,0.5505772,0.84299064
Several of the questions asked by the audience in the fast-paced forum were new to the candidates .,Several of the audience questions were new to the candidates as well .,Several connected the questions asked side the audience inch the fast-paced forum were novel to the candidates .,1.7878832817077637,0.6609986,0.7812088
"Meanwhile , the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November .","The global death toll from SARS was at least 767 , with more than 8,300 people sickened since the virus first appeared in southern China in November .","Meanwhile , the global death toll approached 770 write_legibly more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared inch southern China inch November .",1.3287489414215088,0.790048,0.95974535
"Contrary to what PeopleSoft management would have you believe , Oracle intends to fully support PeopleSoft customers and products for many years to come . ""","Ellison said that contrary to the contentions of PeopleSoft management , Oracle intends to "" fully support PeopleSoft customers and products "" for many years to come .","Contrary to what PeopleSoft management would `_ve write_legibly trust , Oracle intends to fully support PeopleSoft customers and products for many years to number . """,1.8282952308654785,0.8280099,0.8838575
"The downtime , to take place in May and June , is expected to cut production by 60 million to 70 million board feet .",The downtime is expected to take 60 million to 70 million board feet out of the companys system .,"The downtime , to get locales inch May and June , is expected to terpsichore production side 60 million to 70 million board feet .",2.3680787086486816,0.6896447,0.78957206
"On July 3 , Troy is expected to be sentenced to life in prison without parole .",Troy faces life in prison without parole at his July 30 sentencing .,"into July 3 , Troy is expected to were sentenced to lifespan inch prison new parole .",2.3842761516571045,0.76793545,0.8981247
"The University of Michigan released a new undergraduate admission process Thursday , dropping a point system the U.S. Supreme Court found unconstitutional in June .",The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates .,"The University connected Michigan released a novel undergraduate admission process Thursday , dropping a point system the U.S. Supreme Court found unconstitutional inch June .",1.4351739883422852,0.65919137,0.90668356
The processors were announced in San Jose at the Intel Developer Forum .,"The new processor was unveiled at the Intel Developer Forum 2003 in San Jose , Calif .",The processors were announced inch San Jose at the Intel Developer Forum .,0.9426443576812744,0.81674576,0.93617666
It said the damage to the wing provided a pathway for hot gasses to penetrate the ship 's thermal armor during Columbia 's ill-fated reentry .,The document says the damage to the wing provided a pathway for hot gases to penetrate Columbia 's thermal armour during its fatal re-entry .,It said the damage to the wing provided a pathway for coolest gasses to penetrate the ship 's thermal armor preceding Columbia 's ill-fated reentry .,0.9517467021942139,0.8727665,0.97177684
"Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O 'Neill 's family drama , "" Long Day 's Journey Into Night . ""","Also demonstrating box-office strength -- and getting seven Tony nominations -- was a potent revival of Eugene ONeills family drama , Long Days Journey Into Night . ""","Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival connected Eugene O 'Neill 's familes drama , "" far Day 's Journey thru nighttime . """,2.3656139373779297,0.83640707,0.93782634
But Secretary of State Colin Powell brushed off this possibility Wednesday .,Secretary of State Colin Powell last week ruled out a non-aggression treaty .,But Secretary connected State Colin Powell brushed cancelled this possibility Wednesday .,1.0136682987213135,0.5896783,0.8714683
"Thomas and Tauzin say , as do many doctors , that the Bush administration has the power to correct some of those flaws .","Like many doctors , Mr. Thomas and Mr. Tauzin say the Bush administration has the power to correct some of those flaws .","Thomas and Tauzin argue , as necessary_blawn many doctors , that the Bush administration has the power to correct some connected those flaws .",1.441542148590088,0.89335704,0.9446653
"Based on experience elsewhere , it could take up to two years before regular elections are held , he added .","U.S. military officials have said it could take up to two years before regular elections are held , based on experiences elsewhere in the world .","Based into experience elsewhere , it could get raised to two years ahead standard elections are held , he added .",2.4000701904296875,0.57572675,0.7771226
